,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,-0.4268549062143125,-0.42716408618986473,-0.4274560587178822,-0.427767317804882,-0.42807699335673527,-0.4283704348704447,-0.4286336612392291,-0.4288829847554793,-0.42910153722384464,-0.4293036298236082,-0.42946818270861997,-0.42958874866972674,-0.4296222120390546,-0.4296732653877967,-0.4297791621016924,-0.4298640255806802,-0.4299215333760801,-0.42992572445054894,-0.4298767273937521,-0.429755102386374,-0.42977949846784486,-0.4296646356964989,-0.4295480285967429,-0.4294086012851518,-0.4292541543414058,-0.42909405427455655,-0.42892068748888923,-0.42878236246691365,-0.4286493991636258,-0.4284146295995425,-0.42839266789850594,-0.42844248148384884,-0.42859457535974615,-0.4287553233908821,-0.4289386587663222
1,-0.42670599298764933,-0.4270035473351887,-0.4273206607289054,-0.42763650080484067,-0.42793626623495623,-0.4282056422680386,-0.428460983821488,-0.42868549854648935,-0.42889347382126436,-0.4290641751749729,-0.4291904813124395,-0.42922959402012467,-0.4292863117911599,-0.42939812815655554,-0.429488990543164,-0.42955221144344885,-0.42956217225895127,-0.42951885474485135,-0.4294026890392184,-0.42943294032472945,-0.4293233482064883,-0.4292118148286284,-0.4290765588221105,-0.4289265111767194,-0.42877008110690795,-0.42860061229993984,-0.42846609380654604,-0.4283362600191689,-0.4281040068684154,-0.42808482382229396,-0.4281373181103114,-0.4282922498786907,-0.4284555767867447,-0.42864086754515524,-0.42881537170274353
2,-0.42654510924437344,-0.42686785377945063,-0.42718955352126936,-0.427495456293887,-0.42777109578511097,-0.42803256268131606,-0.42826303077625266,-0.4284769361420071,-0.4286534368336548,-0.4287857886246007,-0.4288304287018904,-0.4288928427794646,-0.4290104685522443,-0.42910720245972417,-0.4291763555838556,-0.4291918928848703,-0.42915420524713394,-0.42904352249127237,-0.4290796372847996,-0.4289755158939405,-0.4288692485706823,-0.4287389998632303,-0.428593081407855,-0.42844103243116133,-0.4282751956270607,-0.42814467820414015,-0.4280186661329886,-0.4277892374981606,-0.4277732097456878,-0.42782870278128127,-0.4279866307569661,-0.42815282788976267,-0.4283407710033479,-0.4285172026083928,-0.428696456520852
3,-0.42640912417565213,-0.4267364603716057,-0.42704819611376355,-0.427329913326562,-0.42759761935000057,-0.42783414859968344,-0.42805397535258527,-0.4282363234697174,-0.4283743732643183,-0.42842484768018374,-0.4284928355134419,-0.4286163007003363,-0.4287187963342179,-0.428793754981095,-0.4288150885197659,-0.4287828389315097,-0.42867759104755737,-0.42871958895935053,-0.4286209496164688,-0.4285201478167365,-0.4283950983739376,-0.4282541429981848,-0.42810620560502705,-0.42794471004680057,-0.42781792775082494,-0.42769593124679645,-0.4274700185853331,-0.4274574515935817,-0.42751631884418867,-0.42767756029520704,-0.42784678581230495,-0.42803767238624935,-0.42821672797301114,-0.4283979229530759,-0.4286050841935898
4,-0.42627744849291144,-0.4265947943882383,-0.4268822859019187,-0.42715604564105253,-0.42739875033136504,-0.4276246062819688,-0.4278127938977102,-0.4279565906176039,-0.42801255453372955,-0.42808642157050625,-0.4282156020218885,-0.42832388953987405,-0.4284045445430482,-0.42843154900579017,-0.42840495776944354,-0.4283049548945232,-0.42835278388399867,-0.4282596492920402,-0.428164323980613,-0.4280446731711462,-0.4279088722711729,-0.4277658780483335,-0.42760845495876687,-0.4274861144891072,-0.4273678680381555,-0.42714566595876235,-0.42713724705234696,-0.4271997928224619,-0.4273647220470302,-0.4275372929659869,-0.42773128096877155,-0.4279132514973959,-0.4280970836316934,-0.4283062705708654,-0.4285010334094347
5,-0.4261354781658837,-0.4264285220030381,-0.42670803250413336,-0.42695672810280777,-0.4271887275610877,-0.4273828631109104,-0.42753239978709645,-0.42759390413116527,-0.42767330539257326,-0.4278085040791911,-0.42792245977301396,-0.4280088416016266,-0.42804140913991884,-0.4280203523504922,-0.42792581574662203,-0.42797928235119265,-0.4278916037836834,-0.4278017772855719,-0.42768753624944594,-0.4275570888877777,-0.42741922845915736,-0.42726670722710347,-0.42714853970528116,-0.4270347480239489,-0.4268159930151124,-0.42681191321671397,-0.4268788228605125,-0.42704774288907144,-0.4272240330957759,-0.42742143925419435,-0.42760648263208034,-0.42779324269679964,-0.42800515103119563,-0.4282019008724631,-0.42832353501293485
6,-0.4259688485746337,-0.42625388821915694,-0.4265082727950442,-0.4267462316572867,-0.42694643010520844,-0.4271018159570943,-0.4271688559486511,-0.4272538413631789,-0.4273947120230166,-0.42751463857993544,-0.42760662414972533,-0.42764478620631846,-0.4276291573457251,-0.4275399650665783,-0.4275992859002333,-0.4275168735343502,-0.4274324969205824,-0.4273236881508702,-0.42719860543814825,-0.4270660773484343,-0.4269186479775388,-0.42680547975004524,-0.4266958743474169,-0.4264812706267328,-0.42648126391950336,-0.42655272703614605,-0.4267263212360417,-0.42690663340610113,-0.4271078311455311,-0.427296263979384,-0.42748610976832135,-0.4277010300522238,-0.42790046223254263,-0.4280238584457768,-0.42814428786376013
7,-0.42579383962175466,-0.4260536924450222,-0.4262973093791208,-0.4265033877353918,-0.4266647385477856,-0.4267374254181532,-0.42682798930870525,-0.42697457983853315,-0.4271001318609453,-0.42719802371641186,-0.42724165854059176,-0.42723148998510646,-0.4271475373783695,-0.42721258658889893,-0.4271356598346515,-0.42705654347842265,-0.4269531184047202,-0.42683342279120967,-0.4267062379060589,-0.42656409858997113,-0.42645611799224725,-0.42635152285390615,-0.4261408042138996,-0.4261455696421356,-0.4262213195208945,-0.4263997757458802,-0.426584792562524,-0.4267900841179516,-0.42698227961308266,-0.4271755275441059,-0.42739361738403603,-0.4275960223517021,-0.4277218754583698,-0.4278440619065123,-0.42795214366360823
8,-0.42559321376332426,-0.42584226850694445,-0.4260539267264001,-0.42622106086439354,-0.42629951250998127,-0.4263957648933371,-0.4265480676397269,-0.4266792931799837,-0.42678274700955166,-0.42683215765189564,-0.4268273289932998,-0.42674864984863686,-0.4268193188409256,-0.42674775558725775,-0.4266741180021318,-0.4265758877602163,-0.4264615308252633,-0.4263397113301458,-0.4262028728674361,-0.42610027661469563,-0.42600087912002427,-0.42579486900228414,-0.42580413718597854,-0.4258848704925897,-0.42606792078999967,-0.42625782976137516,-0.42646789704420723,-0.4266641573008705,-0.4268611802626359,-0.4270827557978812,-0.42728829112824696,-0.42741689156845913,-0.42754152920858945,-0.42765132878698364,-0.4277285219153085
9,-0.4253813356192779,-0.4255983545625632,-0.4257709735346474,-0.4258550111133688,-0.4259570686031901,-0.4261151912814819,-0.4262520829551447,-0.42636114713924805,-0.42641599118127455,-0.42641680585685837,-0.42634328165657076,-0.42641959977980065,-0.4263532950735762,-0.4262850142354741,-0.4261921970018942,-0.4260829904499557,-0.4259664878504493,-0.42583497234459095,-0.4257377699869608,-0.4256437661188333,-0.42544265327570685,-0.42545724140085134,-0.42554268782513,-0.4257310263670778,-0.4259255595595657,-0.42614058956531237,-0.4263415961393592,-0.4265426959737568,-0.4267681296588,-0.4269771114170129,-0.427108616927195,-0.42723599594991335,-0.4273482068262029,-0.42742702164104757,-0.4274760457478734
